Day,Portfolio Value,Cumulative Return (%)
0,100000,0.0
1,100000,0.0
2,100000,0.0
3,100000,0.0
4,100000,0.0
5,100000,0.0
6,100000,0.0
7,100000,0.0
8,100000,0.0
9,100000,0.0
10,100000,0.0
11,100000,0.0
12,100000,0.0
13,100000,0.0
14,100000,0.0
15,100000,0.0
16,100000,0.0
17,100000,0.0
18,100000,0.0
19,100000,0.0
20,100000,0.0
21,100000,0.0
22,100000,0.0
23,100000,0.0
24,100000,0.0
25,100000,0.0
26,100000,0.0
27,100000,0.0
28,100000,0.0
29,100000,0.0
30,100000,0.0
31,100000,0.0
32,100000,0.0
33,100000,0.0
34,100000,0.0
35,100000,0.0
36,100000,0.0
37,100000,0.0
38,100000,0.0
39,100000,0.0
40,100000,0.0
41,100000,0.0
42,100000,0.0
43,100000,0.0
44,100000,0.0
45,100000,0.0
46,100000,0.0
47,100000,0.0
48,100000,0.0
49,100000,0.0
50,100000,0.0
51,100000,0.0
52,100000,0.0
53,100000,0.0
54,100000,0.0
55,100000,0.0
56,100000,0.0
57,100000,0.0
58,100000,0.0
59,100000,0.0
60,100000,0.0
61,100000,0.0
62,100000,0.0
63,100000,0.0
64,100000,0.0
65,100000,0.0
66,100000,0.0
67,100000,0.0
68,100000,0.0
69,100000,0.0
70,100000,0.0
71,100000,0.0
72,100000,0.0
73,100000,0.0
74,100000,0.0
75,100000,0.0
76,100000,0.0
77,100000,0.0
78,100000,0.0
79,100000,0.0
80,100000,0.0
81,100000,0.0
82,100000,0.0
83,100000,0.0
84,100000,0.0
85,100000,0.0
86,100000,0.0
87,100000,0.0
88,100000,0.0
89,100000,0.0
90,100000,0.0
91,100000,0.0
92,100000,0.0
93,100000,0.0
94,100000,0.0
95,100000,0.0
96,100000,0.0
97,100000,0.0
98,100000,0.0
99,100000,0.0
100,100000,0.0
101,100000,0.0
102,100000,0.0
103,100000,0.0
104,100000,0.0
105,100000,0.0
106,100000,0.0
107,100000,0.0
108,100000,0.0
109,100000,0.0
110,100000,0.0
111,100000,0.0
112,100000,0.0
113,100000,0.0
114,100000,0.0
115,100000,0.0
116,100000,0.0
117,100000,0.0
118,100000,0.0
119,100000,0.0
120,100000,0.0
121,100000,0.0
122,100000,0.0
123,100000,0.0
124,100000,0.0
125,100000,0.0
126,100000,0.0
127,100000,0.0
128,100000,0.0
129,100000,0.0
130,100000,0.0
131,100000,0.0
132,100000,0.0
133,100000,0.0
134,100000,0.0
135,100000,0.0
136,100000,0.0
137,100000,0.0
138,100000,0.0
139,100000,0.0
140,100000,0.0
141,100000,0.0
142,100000,0.0
143,100000,0.0
144,100000,0.0
145,100000,0.0
146,100000,0.0
147,100000,0.0
148,100000,0.0
149,100000,0.0
150,100000,0.0
151,100000,0.0
152,100000,0.0
153,100000,0.0
154,100000,0.0
155,100000,0.0
156,100000,0.0
157,100000,0.0
158,100000,0.0
159,100000,0.0
160,100000,0.0
161,100000,0.0
162,100000,0.0
163,100000,0.0
164,100000,0.0
165,100000,0.0
166,100000,0.0
167,100000,0.0
168,100000,0.0
169,100000,0.0
170,100000,0.0
171,100000,0.0
172,100000,0.0
173,100000,0.0
174,100000,0.0
175,100000,0.0
176,100000,0.0
177,100000,0.0
178,100000,0.0
179,100000,0.0
180,100000,0.0
181,100000,0.0
182,100000,0.0
183,100000,0.0
184,100000,0.0
185,100000,0.0
186,100000,0.0
187,100000,0.0
188,100000,0.0
189,100000,0.0
190,100000,0.0
191,100000,0.0
192,100000,0.0
193,100000,0.0
194,100000,0.0
195,100000,0.0
196,100000,0.0
197,100000,0.0
198,100000,0.0
199,100000,0.0
200,100000,0.0
201,100000,0.0
202,100000,0.0
203,100000,0.0
204,100000,0.0
205,100000,0.0
206,100000,0.0
207,100000,0.0
208,100000,0.0
209,100000,0.0
210,100000,0.0
211,100000,0.0
212,100000,0.0
213,100000,0.0
214,100000,0.0
215,100000,0.0
216,100000,0.0
217,100000,0.0
218,100000,0.0
219,100000,0.0
220,100000,0.0
221,100000,0.0
222,100000,0.0
223,100000,0.0
224,100000,0.0
225,100000,0.0
226,100000,0.0
227,100000,0.0
228,100000,0.0
229,100000,0.0
230,100000,0.0
231,100000,0.0
232,100000,0.0
233,100000,0.0
234,100000,0.0
235,100000,0.0
236,100000,0.0
237,100000,0.0
238,100000,0.0
239,100000,0.0
240,100000,0.0
241,100000,0.0
242,100000,0.0
243,100000,0.0
244,100000,0.0
245,100000,0.0
246,100000,0.0
247,100000,0.0
248,100000,0.0
249,100000,0.0
250,100000,0.0
251,100000,0.0
252,100000,0.0
253,100000,0.0
254,100000,0.0
255,100000,0.0
256,100000,0.0
257,100000,0.0
258,100000,0.0
259,100000,0.0
260,100000,0.0
261,100000,0.0
262,100000,0.0
263,100000,0.0
264,100000,0.0
265,100000,0.0
266,100000,0.0
267,100000,0.0
268,100000,0.0
269,100000,0.0
270,100000,0.0
271,100000,0.0
272,100000,0.0
273,100000,0.0
274,100000,0.0
275,100000,0.0
276,100000,0.0
277,100000,0.0
278,100000,0.0
279,100000,0.0
280,100000,0.0
281,100000,0.0
282,100000,0.0
283,100000,0.0
284,100000,0.0
285,100000,0.0
286,100000,0.0
287,100000,0.0
288,100000,0.0
289,100000,0.0
290,100000,0.0
291,100000,0.0
292,100000,0.0
293,100000,0.0
294,100000,0.0
295,100000,0.0
296,100000,0.0
297,100000,0.0
298,100000,0.0
299,100000,0.0
300,100000,0.0
301,100000,0.0
302,100000,0.0
303,100000,0.0
304,100000,0.0
305,100000,0.0
306,100000,0.0
307,100000,0.0
308,100000,0.0
309,100000,0.0
310,100000,0.0
311,100000,0.0
312,100000,0.0
313,100000,0.0
314,100000,0.0
315,100000,0.0
316,100000,0.0
317,100000,0.0
318,100000,0.0
319,100000,0.0
320,100000,0.0
321,100000,0.0
322,100000,0.0
323,100000,0.0
324,100000,0.0
325,100000,0.0
326,100000,0.0
327,100000,0.0
328,100000,0.0
329,100000,0.0
330,100000,0.0
331,100000,0.0
332,100000,0.0
333,100000,0.0
334,100000,0.0
335,100000,0.0
336,100000,0.0
337,100000,0.0
338,100000,0.0
339,100000,0.0
340,100000,0.0
341,100000,0.0
342,100000,0.0
343,100000,0.0
344,100000,0.0
345,100000,0.0
346,100000,0.0
347,100000,0.0
348,100000,0.0
349,100000,0.0
350,100000,0.0
351,100000,0.0
352,100000,0.0
353,100000,0.0
354,100000,0.0
355,100000,0.0
356,100000,0.0
357,100000,0.0
358,100000,0.0
359,100000,0.0
360,100000,0.0
361,100000,0.0
362,100000,0.0
363,100000,0.0
364,100000,0.0
365,100000,0.0
366,100000,0.0
367,100000,0.0
368,100000,0.0
369,100000,0.0
370,100000,0.0
371,100000,0.0
372,100000,0.0
373,100000,0.0
374,100000,0.0
375,100000,0.0
376,100000,0.0
377,100000,0.0
378,100000,0.0
379,100000,0.0
380,100000,0.0
381,100000,0.0
382,100000,0.0
383,100000,0.0
384,100000,0.0
385,100000,0.0
386,100000,0.0
387,100000,0.0
388,100000,0.0
389,100000,0.0
390,100000,0.0
391,100000,0.0
392,100000,0.0
393,100000,0.0
394,100000,0.0
395,100000,0.0
396,100000,0.0
397,100000,0.0
398,100000,0.0
399,100000,0.0
400,100000,0.0
401,100000,0.0
